record_id,H2,CH4,C2H6,C2H4,C2H2,Fault_Type
IE_DGA.xlsx:data_row_1,32930,2397,157,,,PD
IE_DGA.xlsx:data_row_2,37800,1740,249,8,8,PD
IE_DGA.xlsx:data_row_3,92600,10200,,,,PD
IE_DGA.xlsx:data_row_4,8266,1061,22,,,PD
IE_DGA.xlsx:data_row_5,9340,995,60,6,7,PD
IE_DGA.xlsx:data_row_6,36036,4704,554,5,10,PD
IE_DGA.xlsx:data_row_7,33046,619,58,2,,PD
IE_DGA.xlsx:data_row_8,40280,1069,1060,1,1,PD
IE_DGA.xlsx:data_row_9,26788,18342,2111,27,,PD
IE_DGA.xlsx:data_row_10,78,20,11,13,28,DF
IE_DGA.xlsx:data_row_11,305,100,33,161,541,DF
IE_DGA.xlsx:data_row_12,35,6,3,26,482,DF
IE_DGA.xlsx:data_row_13,543,120,41,411,1880,DF
IE_DGA.xlsx:data_row_14,1230,163,27,233,692,DF
IE_DGA.xlsx:data_row_15,645,86,13,110,317,DF
IE_DGA.xlsx:data_row_16,60,10,4,4,4,DF
IE_DGA.xlsx:data_row_17,95,10,,11,39,DF
IE_DGA.xlsx:data_row_18,6870,1028,79,900,5500,DF
IE_DGA.xlsx:data_row_19,10092,5399,530,6500,37565,DF
IE_DGA.xlsx:data_row_20,650,81,170,51,270,DF
IE_DGA.xlsx:data_row_21,210,22,6,6,7,DF
IE_DGA.xlsx:data_row_22,385,60,8,53,159,DF
IE_DGA.xlsx:data_row_23,4230,690,5,196,1180,DF
IE_DGA.xlsx:data_row_24,7600,1230,318,836,1560,DF
IE_DGA.xlsx:data_row_25,595,80,9,89,244,DF
IE_DGA.xlsx:data_row_26,120,25,1,8,40,DF
IE_DGA.xlsx:data_row_27,8,,,43,101,DF
IE_DGA.xlsx:data_row_28,6454,2313,121,2159,6432,DF
IE_DGA.xlsx:data_row_29,2177,1049,207,440,705,DF
IE_DGA.xlsx:data_row_30,1790,580,321,336,619,DF
IE_DGA.xlsx:data_row_31,1330,10,20,66,182,DF
IE_DGA.xlsx:data_row_32,4,1,2,7,52,DF
IE_DGA.xlsx:data_row_33,1900,285,31,957,7730,DF
IE_DGA.xlsx:data_row_34,57,24,2,27,30,DF
IE_DGA.xlsx:data_row_35,1000,500,1,400,500,DF
IE_DGA.xlsx:data_row_36,440,89,19,304,757,DF
IE_DGA.xlsx:data_row_37,210,43,12,102,187,DF
IE_DGA.xlsx:data_row_38,2850,1115,138,1987,3675,DF
IE_DGA.xlsx:data_row_39,7020,1850,,2960,4410,DF
IE_DGA.xlsx:data_row_40,545,130,16,153,239,DF
IE_DGA.xlsx:data_row_41,7150,1440,97,1210,1760,DF
IE_DGA.xlsx:data_row_42,620,325,38,181,244,DF
IE_DGA.xlsx:data_row_43,120,31,,66,94,DF
IE_DGA.xlsx:data_row_44,755,229,32,404,460,DF
IE_DGA.xlsx:data_row_45,5100,1430,,1140,1010,DF
IE_DGA.xlsx:data_row_46,13500,6110,212,4510,4040,DF
IE_DGA.xlsx:data_row_47,1570,1110,175,1780,1830,DF
IE_DGA.xlsx:data_row_48,3090,5020,323,3800,2540,DF
IE_DGA.xlsx:data_row_49,1820,405,35,365,634,DF
IE_DGA.xlsx:data_row_50,535,160,16,305,680,DF
IE_DGA.xlsx:data_row_51,13,3,1,3,6,DF
IE_DGA.xlsx:data_row_52,137,67,7,53,104,DF
IE_DGA.xlsx:data_row_53,1084,188,8,166,769,DF
IE_DGA.xlsx:data_row_54,34,21,4,49,56,DF
IE_DGA.xlsx:data_row_55,7940,2000,355,3120,5390,DF
IE_DGA.xlsx:data_row_56,150,130,9,55,30,DF
IE_DGA.xlsx:data_row_57,8200,3790,250,4620,5830,DF
IE_DGA.xlsx:data_row_58,260,215,35,334,277,DF
IE_DGA.xlsx:data_row_59,75,15,7,14,26,DF
IE_DGA.xlsx:data_row_60,530,345,85,266,250,DF
IE_DGA.xlsx:data_row_61,60,5,2,21,21,DF
IE_DGA.xlsx:data_row_62,90,28,8,31,32,DF
